TIMEH,TEMPH,DTEMPH,SAMPLE,LON,LAT,HEIGHT,
30.7424,29.1762,20,,,,,
30.393,28.8791,20,,,,,
30.0437,28.5817,20,,,,,
29.6943,28.2839,20,,,,,
29.345,27.9858,20,,,,,
28.9956,27.6873,20,,,,,
28.6463,27.3884,20,,,,,
28.2969,27.0759,20,,,,,
27.9476,26.7549,20,,,,,
27.5983,26.4334,20,,,,,
27.2489,26.1116,20,,,,,
26.8996,25.7893,20,,,,,
26.5502,25.4667,20,,,,,
26.2009,25.1437,20,,,,,
25.8515,24.8203,20,,,,,
25.5022,24.4965,20,,,,,
25.1528,24.1724,20,,,,,
24.8035,23.8478,20,,,,,
24.4541,23.5229,20,,,,,
24.1048,23.1976,20,,,,,
23.7555,22.8719,20,,,,,
23.4061,22.5459,20,,,,,
23.0568,22.2195,20,,,,,
22.7074,21.8927,20,,,,,
22.3581,21.5656,20,,,,,
22.0087,21.238,20,,,,,
21.6594,20.9102,20,,,,,
21.31,20.5819,20,,,,,
20.9607,20.2534,20,,,,,
20.6114,19.9244,20,,,,,
20.262,19.5951,20,,,,,
19.9127,19.2655,20,,,,,
19.5633,18.9355,20,,,,,
19.214,18.6052,20,,,,,
18.8646,18.2745,20,,,,,
18.5153,17.9435,20,,,,,
18.1659,17.6122,20,,,,,
17.8166,17.2805,20,,,,,
17.4672,16.9485,20,,,,,
17.1179,16.6162,20,,,,,
16.7686,16.2836,20,,,,,
16.4192,15.9506,20,,,,,
16.0699,15.6173,20,,,,,
15.7205,15.2837,20,,,,,
15.3712,14.9498,20,,,,,
15.0218,14.6156,20,,,,,
14.6725,14.2811,20,,,,,
14.3231,13.9463,20,,,,,
13.9738,13.6112,20,,,,,
13.6245,13.2758,20,,,,,
13.2751,12.9401,20,,,,,
12.9258,12.6041,20,,,,,
12.5764,12.2678,20,,,,,
12.2271,11.9312,20,,,,,
11.8777,11.5944,20,,,,,
11.5284,11.2573,20,,,,,
11.179,10.9199,20,,,,,
10.8297,10.5822,20,,,,,
10.4803,10.2443,20,,,,,
10.131,9.90611,20,,,,,
9.78166,9.56766,20,,,,,
9.43231,9.22896,20,,,,,
9.08297,8.89,20,,,,,
8.73362,8.55079,20,,,,,
8.38428,8.21134,20,,,,,
8.03493,7.87165,20,,,,,
7.68559,7.53172,20,,,,,
7.33624,7.19155,20,,,,,
6.9869,6.85115,20,,,,,
6.63755,6.51052,20,,,,,
6.28821,6.16966,20,,,,,
5.93886,5.82859,20,,,,,
5.58952,5.4873,20,,,,,
5.24017,5.14579,20,,,,,
4.89083,4.80407,20,,,,,
4.54148,4.46215,20,,,,,
4.19214,4.12002,20,,,,,
3.84279,3.7777,20,,,,,
3.49345,3.43518,20,,,,,
3.1441,3.09246,20,,,,,
2.79476,2.74956,20,,,,,
2.44541,2.40647,20,,,,,
2.09607,2.0632,20,,,,,
1.74672,1.71976,20,,,,,
1.39738,1.37614,20,,,,,
1.04803,1.03235,20,,,,,
0.69869,0.688392,20,,,,,
0.349345,0.344275,20,,,,,
0,5.26941E-14,20,,,,,
